Stock;Day;Level
Matière première 2;31;1630
Matière première 2;32;1400
Matière première 2;33;1140
Matière première 2;34;980
Matière première 2;35;980
Matière première 2;36;980
Matière première 2;37;980
Matière première 2;38;2460
Matière première 2;39;2350
Matière première 2;40;2240
Matière première 2;41;2140
Matière première 2;42;2030
Matière première 2;43;1690
Matière première 2;44;1690
Matière première 2;45;1690
Matière première 2;46;1400
Matière première 2;47;1130
Matière première 2;48;890
Matière première 2;49;890
Matière première 2;50;760
Matière première 2;51;550
Matière première 2;52;3390
Matière première 2;53;3130
Matière première 2;54;2970
Matière première 2;55;2810
Matière première 2;56;2650
Matière première 2;57;2490
Matière première 2;58;2330
Matière première 2;59;2170
Matière première 2;60;2010
Matière première 2;61;1850
Matière première 2;62;1690
Matière première 2;63;1530
Matière première 2;64;1370
Matière première 2;65;1210
Matière première 2;66;1050
Matière première 2;67;890
Matière première 2;68;3730
Matière première 2;69;3570
Matière première 2;70;3410
Matière première 2;71;3150
Matière première 2;72;2990
Matière première 2;73;2830
Matière première 2;74;2670
Matière première 2;75;2670
Matière première 2;76;2650
Matière première 2;77;2490
Matière première 2;78;2330
Matière première 2;79;2170
Matière première 2;80;2010
Matière première 2;81;1850
Matière première 2;82;1690
Matière première 2;83;1530
Matière première 2;84;1370
Matière première 2;85;1210
Matière première 2;86;1050
Matière première 2;87;770
Matière première 2;88;590
Matière première 2;89;410
Matière première 2;90;230
Matière première 2;91;4050
Matière première 2;92;3870
Matière première 2;93;3690
Matière première 2;94;3510
Matière première 2;95;3330
Matière première 2;96;3150
Matière première 2;97;2970
Matière première 2;98;2840
Matière première 2;99;2660
Matière première 2;100;2480
Matière première 2;101;2300
Matière première 2;102;2120
Matière première 2;103;1840
Matière première 2;103;1840
Matière première 2;104;1600
Matière première 2;105;1600
Matière première 2;106;1550
Matière première 2;107;1370
Matière première 2;108;1230
Matière première 2;109;1050
Matière première 2;110;930
Matière première 2;111;5250
Matière première 2;112;5130
Matière première 2;113;4950
Matière première 2;114;4820
Matière première 2;115;4640
Matière première 2;116;4510
Matière première 2;117;4330
Matière première 2;118;4200
Matière première 2;119;4020
Matière première 2;120;3890
Matière première 2;121;3700
Matière première 2;122;3520
Matière première 2;123;3330
Matière première 2;124;3170
Matière première 2;125;2880
Matière première 2;126;2720
Matière première 2;127;2480
Matière première 2;128;2270
Matière première 2;129;2030
Matière première 2;130;1820
Matière première 2;131;1580
Matière première 2;132;1370
Matière première 2;133;1130
Matière première 2;134;920
Matière première 2;135;680
Matière première 2;136;4780
Matière première 2;137;4530
Matière première 2;138;4340
Matière première 2;139;4150
Matière première 2;140;3910
Matière première 2;141;3650
Matière première 2;142;3410
Matière première 2;143;3170
Matière première 2;144;2950
Matière première 2;145;2730
Matière première 2;146;2490
Matière première 2;147;2270
Matière première 2;148;2050
Matière première 2;149;1840
Matière première 2;150;1600
Matière première 2;151;1380
Matière première 2;152;1140
Matière première 2;153;910
Matière première 2;154;670
Matière première 2;155;4860
Matière première 2;156;4620
Matière première 2;157;4380
Matière première 2;158;4140
Matière première 2;159;3900
Matière première 2;160;3660
Matière première 2;161;3420
Matière première 2;162;3180
Matière première 2;163;2940
Matière première 2;164;2700
Matière première 2;165;2460
Matière première 2;166;2220
Matière première 2;167;1980
Matière première 2;168;1740
Matière première 2;169;1480
Matière première 2;170;1200
Matière première 2;171;910
Matière première 2;172;610
Matière première 2;173;4730
Matière première 2;174;4530
Matière première 2;175;4230
Matière première 2;176;3950
Matière première 2;177;3640
Matière première 2;178;3300
Matière première 2;179;2980
Matière première 2;180;2670
Matière première 2;181;2390
Matière première 2;182;2090
Matière première 2;183;1770
Matière première 2;184;1510
Matière première 2;185;1180
Matière première 2;186;870
Matière première 2;187;570
Matière première 2;188;270
Matière première 2;189;4500
Matière première 2;190;4170
Matière première 2;191;3990
Matière première 2;192;3580
Matière première 2;193;3320
Matière première 2;194;3020
Matière première 2;195;2720
Matière première 2;196;2420
Matière première 2;197;2120
Matière première 2;198;1820
Matière première 2;199;1530
Matière première 2;200;1240
Matière première 2;201;940
Matière première 2;202;630
Matière première 2;203;360
Matière première 2;204;4540
Matière première 2;205;4140
Matière première 2;206;3820
Matière première 1;0;3000
Matière première 1;1;3000
Matière première 1;2;2970
Matière première 1;3;2950
Matière première 1;4;2910
Matière première 1;5;2880
Matière première 1;6;2850
Matière première 1;7;2810
Matière première 1;8;2770
Matière première 1;9;2770
Matière première 1;10;2700
Matière première 1;11;2660
Matière première 1;12;2510
Matière première 1;13;2510
Matière première 1;14;2410
Matière première 1;15;2330
Matière première 1;16;2260
Matière première 1;17;2160
Matière première 1;18;2020
Matière première 1;19;1870
Matière première 1;20;1780
Matière première 1;21;1650
Matière première 1;22;1500
Matière première 1;23;1370
Matière première 1;24;1270
Matière première 1;25;1150
Matière première 1;26;1030
Matière première 1;27;850
Matière première 1;28;710
Matière première 1;29;570
Matière première 1;30;330
Matière première 1;31;1630
Matière première 1;32;1400
Matière première 1;33;1140
Matière première 1;34;980
Matière première 1;35;980
Matière première 1;36;980
Matière première 1;37;980
Matière première 1;38;2460
Matière première 1;39;2350
Matière première 1;40;2240
Matière première 1;41;2140
Matière première 1;42;2030
Matière première 1;43;1690
Matière première 1;44;1690
Matière première 1;45;1690
Matière première 1;46;1400
Matière première 1;47;1130
Matière première 1;48;890
Matière première 1;49;890
Matière première 1;50;760
Matière première 1;51;550
Matière première 1;52;2390
Matière première 1;53;2130
Matière première 1;54;1970
Matière première 1;55;1810
Matière première 1;56;1650
Matière première 1;57;1490
Matière première 1;58;1330
Matière première 1;59;1170
Matière première 1;60;1010
Matière première 1;61;2850
Matière première 1;62;2690
Matière première 1;63;2530
Matière première 1;64;2370
Matière première 1;65;2210
Matière première 1;66;2050
Matière première 1;67;1890
Matière première 1;68;1730
Matière première 1;69;1570
Matière première 1;70;1410
Matière première 1;71;1150
Matière première 1;72;990
Matière première 1;73;830
Matière première 1;74;3170
Matière première 1;75;3170
Matière première 1;76;3150
Matière première 1;77;2990
Matière première 1;78;2830
Matière première 1;79;2670
Matière première 1;80;2510
Matière première 1;81;2350
Matière première 1;82;2190
Matière première 1;83;2030
Matière première 1;84;1870
Matière première 1;85;1710
Matière première 1;86;1550
Matière première 1;87;1270
Matière première 1;88;1090
Matière première 1;89;910
Matière première 1;90;730
Matière première 1;91;3050
Matière première 1;92;2870
Matière première 1;93;2690
Matière première 1;94;2510
Matière première 1;95;2330
Matière première 1;96;2150
Matière première 1;97;1970
Matière première 1;98;1840
Matière première 1;99;1660
Matière première 1;100;1480
Matière première 1;101;1300
Matière première 1;102;1120
Matière première 1;103;840
Matière première 1;103;840
Matière première 1;104;600
Matière première 1;105;600
Matière première 1;106;550
Matière première 1;107;3370
Matière première 1;108;3230
Matière première 1;109;3050
Matière première 1;110;2930
Matière première 1;111;2750
Matière première 1;112;2630
Matière première 1;113;2450
Matière première 1;114;2320
Matière première 1;115;2140
Matière première 1;116;2010
Matière première 1;117;1830
Matière première 1;118;1700
Matière première 1;119;1520
Matière première 1;120;1390
Matière première 1;121;1200
Matière première 1;122;1020
Matière première 1;123;830
Matière première 1;124;3670
Matière première 1;125;3380
Matière première 1;126;3220
Matière première 1;127;2980
Matière première 1;128;2770
Matière première 1;129;2530
Matière première 1;130;2320
Matière première 1;131;2080
Matière première 1;132;1870
Matière première 1;133;1630
Matière première 1;134;1420
Matière première 1;135;1180
Matière première 1;136;780
Matière première 1;137;530
Matière première 1;138;3840
Matière première 1;139;3650
Matière première 1;140;3410
Matière première 1;141;3150
Matière première 1;142;2910
Matière première 1;143;2670
Matière première 1;144;2450
Matière première 1;145;2230
Matière première 1;146;1990
Matière première 1;147;1770
Matière première 1;148;1550
Matière première 1;149;1340
Matière première 1;150;1100
Matière première 1;151;880
Matière première 1;152;640
Matière première 1;153;3910
Matière première 1;154;3670
Matière première 1;155;3360
Matière première 1;156;3120
Matière première 1;157;2880
Matière première 1;158;2640
Matière première 1;159;2400
Matière première 1;160;2160
Matière première 1;161;1920
Matière première 1;162;1680
Matière première 1;163;1440
Matière première 1;164;1200
Matière première 1;165;960
Matière première 1;166;720
Matière première 1;167;3980
Matière première 1;168;3740
Matière première 1;169;3480
Matière première 1;170;3200
Matière première 1;171;2910
Matière première 1;172;2610
Matière première 1;173;2230
Matière première 1;174;2030
Matière première 1;175;1730
Matière première 1;176;1450
Matière première 1;177;1140
Matière première 1;178;800
Matière première 1;179;480
Matière première 1;180;3670
Matière première 1;181;3390
Matière première 1;182;3090
Matière première 1;183;2770
Matière première 1;184;2510
Matière première 1;185;2180
Matière première 1;186;1870
Matière première 1;187;1570
Matière première 1;188;1270
Matière première 1;189;990
Matière première 1;190;670
Matière première 1;191;490
Matière première 1;192;3580
Matière première 1;193;3320
Matière première 1;194;3020
Matière première 1;195;2720
Matière première 1;196;2420
Matière première 1;197;2120
Matière première 1;198;1820
Matière première 1;199;1530
Matière première 1;200;1240
Matière première 1;201;940
Matière première 1;202;630
Matière première 1;203;360
Matière première 1;204;3540
Matière première 1;205;3140
Matière première 1;206;2820
